,TimeTick,1,0.8,0.5,0.3,0.1
13/05/2023,5.384354,0,20221.42701,50493.01652,70775.79685,90993.98266
13/05/2023,5.401053,0,20221.71632,50477.68532,70775.60997,90987.6391
13/05/2023,5.41772,0,20221.3741,50460.64603,70773.02755,90978.21589
13/05/2023,5.434386,0,20220.34745,50433.28228,70768.0497,90965.71336
13/05/2023,5.451053,0,20218.63641,50412.09096,70760.67657,90950.13194
13/05/2023,5.46772,0,20216.24103,50389.19335,70750.90842,90931.47214
13/05/2023,5.484387,0,20213.1614,50364.59081,70738.74558,90909.73514
13/05/2023,5.501053,0,20209.39761,50338.28305,70724.18846,90884.92067
13/05/2023,5.51772,0,20204.9498,50310.2715,70707.23755,90857.03003
13/05/2023,5.534387,0,20199.81812,50280.55711,70687.8939,90826.06418
13/05/2023,5.551054,0,20194.00274,50249.13866,70666.15728,90792.02416
13/05/2023,5.56772,0,20187.50386,50216.02154,70642.02883,90754.88811
13/05/2023,5.584387,0,20180.32169,50181.20559,70615.50937,90714.70147
13/05/2023,5.601054,0,20172.45649,50144.69038,70586.5998,90671.44444
13/05/2023,5.617721,0,20163.90851,50106.47794,70555.30111,90625.11846
13/05/2023,5.634387,0,20154.67805,50066.56955,70521.61434,90575.72511
13/05/2023,5.651054,0,20144.76541,50024.96657,70485.54064,90523.26607
13/05/2023,5.667721,0,20134.17094,49981.67041,70447.08123,90467.7431
13/05/2023,5.684388,0,20122.895,49936.68252,70406.23742,90409.15809
13/05/2023,5.701055,0,20110.93796,49890.00444,70363.01057,90347.51302
13/05/2023,5.717721,0,20098.30022,49841.63774,70317.40217,90282.80997
13/05/2023,5.734388,0,20084.98223,49791.58406,70269.41487,90215.05114
13/05/2023,5.751055,0,20070.98442,49739.8451,70219.0481,90144.23882
13/05/2023,5.767722,0,20056.30727,49686.42384,70166.30465,90070.3754
13/05/2023,5.784389,0,20040.95128,49631.31965,70111.18629,89993.46339
13/05/2023,5.801055,0,20024.91697,49574.53561,70053.69489,89913.50539
13/05/2023,5.817722,0,20008.20488,49516.07362,69993.83239,89830.50604
13/05/2023,5.834389,0,19990.81558,49455.93567,69931.60083,89744.46434
13/05/2023,5.851056,0,19972.74965,49394.12379,69867.00231,89655.38509
13/05/2023,5.867723,0,19954.0077,49330.64009,69800.03902,89563.27129
13/05/2023,5.884389,0,19934.59083,49265.48821,69730.71321,89468.12606
13/05/2023,5.901056,0,19914.49881,49198.66737,69659.02725,89369.95261
13/05/2023,5.917723,0,19893.73225,49130.18132,69584.98355,89268.75428
13/05/2023,5.93439,0,19872.29332,49060.03238,69508.58462,89164.53691
13/05/2023,5.951056,0,19850.1813,48988.2229,69429.83304,89057.29926
13/05/2023,5.967723,0,19827.39741,48914.75703,69348.73149,88947.0473
13/05/2023,5.98439,0,19803.94243,48839.63389,69265.28271,88833.78476
13/05/2023,6.001057,0,19779.81715,48762.85769,69179.48952,88717.51549
13/05/2023,6.017724,0,19755.02238,48684.43102,69091.35687,88598.24341
13/05/2023,6.03439,0,19729.55897,48604.35653,69000.8837,88475.97257
13/05/2023,6.051057,0,19703.42777,48522.51037,68908.07508,88350.70999
13/05/2023,6.067724,0,19676.62968,48439.14593,68812.93414,88222.45123
13/05/2023,6.084391,0,19649.1656,48354.14198,68715.4641,88091.21236
13/05/2023,6.101058,0,19621.03646,48267.5014,68615.66826,87956.98891
13/05/2023,6.117724,0,19592.24387,48179.22916,68513.55,87819.7884
13/05/2023,6.134439,0,19562.7875,48089.3242,68409.11278,87679.61547
13/05/2023,6.151106,0,19532.66899,47997.79158,68302.36013,87536.47487
13/05/2023,6.167773,0,19501.88936,47904.63438,68193.29566,87390.37144
13/05/2023,6.18444,0,19470.44965,47809.85576,68081.92307,87241.31012
13/05/2023,6.201106,0,19438.35094,47713.45893,67968.24612,87089.29596
